[thw]
[hww]
[tt]
[tw]
[other arguments]

Christopher Eccleston,10,10,10,10,8,0,10,10,10,10,,,89,85,78,69,,,,
Colin Baker,10,0,10,10,8,10,10,10,10,10,,,85,74,78,61,,,,
David Tennant,10,10,10,10,8,10,10,0,0,10,,,100,72,100,100,,,,
Jon Pertwee,10,0,10,10,0,10,10,10,10,10,,,74,82,90,91,,,,
Patrick Troughton,10,10,10,10,8,10,10,0,10,10,,,90,75,94,62,,,,
Paul McGann,10,10,10,0,8,10,10,10,10,10,,,96,84,87,70,,,,
Peter Davison,10,10,10,0,5,10,0,0,0,10,,,91,68,84,92,,,,
Sylvester McCoy,10,10,10,8,8,10,10,10,10,10,,,87,61,71,100,,,,
Tom Baker,10,10,10,10,6,10,0,10,10,10,,,87,80,84,88,,,,
William Hartnell,10,10,10,0,8,10,8,0,10,10,,,95,81,84,90,,,,
